"Registration Date","Last Name","First Name",Email,"MER ID","QB ID","Fee Type","Course Fee","Transaction Category","Amount Paid","Credit Used","Payment Mode","CC Num.","CC Exp.","Cheque Num","Transaction ID","Promo Code","Promo Value","Conference ID","Conference Title","Start Date","End Date",Venue,"Venue Region",Canceled
"2020-06-02 07:28:39",Bandhu,Chakrapani,qateam.125@gmail.com,1AL03918920,0,"Pricing Other",795,"Registration CREDIT USED",0,695,CREDITS,,,,62259650432,,,20200619-347-375,"Pediatric & Adolescent Medicine for Primary Care: Gyn/ID/Neuro",2020-06-19,2020-06-21,"The Broadmoor","Colorado Springs, Colorado",
"2020-06-02 07:18:31",Bandhu,Chakrapani,qateam.125@gmail.com,1AL03918920,0,"Pricing Other",695,"Registration PAID CC",695,0,CREDIT_CARD,1111,08-2022,,40049788706,D-CHAK100,100,20200626-258-376,"Cardiology & Pulmonology for Primary Care",2020-06-26,2020-06-28,"Hotel Terra","Jackson Hole, Wyoming",
"2020-06-02 08:11:56",Bandhu,Chakrapani,qateam.125@gmail.com,1AL03918920,0,"Pricing Other",1195,"Registration CREDIT USED",0,1195,CREDITS,,,,1591124705,D-CHAK100,100,20200608-410-379,"Internal Medicine for Primary Care: ID/Onc/Pain/Psych",2020-06-08,2020-06-11,"Paris Marriott Opera Ambassador Hotel","Paris, France",
"2020-06-01 13:27:27",Bandhu,Chakrapani,qatestingdemo001@gmail.com,1AL03919020,0,"Pricing Other",695,"Registration PAID CC",695,0,CREDIT_CARD,1111,06-2024,,40049759804,D-CHAK100,100,20200703-187-382,"Neurology for Primary Care",2020-07-03,2020-07-05,"Bellagio Hotel and Casino","Las Vegas, Nevada",
"2020-06-01 12:20:38",Bandhu,Chakrapani,qateam.125@gmail.com,1AL03918920,0,"Pricing Early Other",795,"Registration CC AND CREDIT USED",290,505,CREDITS_AND_CREDIT_CARD,1111,12-2023,,40049757961,D-CHAK100,100,20200806-206-390,"Internal Medicine for Primary Care: Cardio/ENT/OB/Psych",2020-08-06,2020-08-09,"Hotel del Coronado","San Diego, California",
"2020-06-01 12:43:53",Bandhu,Chakrapani,qatestingdemo001@gmail.com,1AL03919020,0,"Pricing Early Other",795,"Registration PAID CC",795,0,CREDIT_CARD,1111,08-2023,,40049758653,D-CHAK100,100,20200806-206-390,"Internal Medicine for Primary Care: Cardio/ENT/OB/Psych",2020-08-06,2020-08-09,"Hotel del Coronado","San Diego, California",
"2020-06-01 12:14:54",Bandhu,Chakrapani,qateam.125@gmail.com,1AL03918920,0,"Pricing Early Other",695,"Registration PAID CC",695,0,CREDIT_CARD,1111,09-2023,,40049757849,,,20200807-289-391,"Dermatology for Primary Care",2020-08-07,2020-08-09,"Disney\'s Grand Californian Hotel & Spa","Disneyland® Resort, California",
"2020-06-01 11:58:21",Bandhu,Chakrapani,qatestingdemo001@gmail.com,1AL03919020,0,"Pricing Early Other",595,"Registration PAID CC",595,0,CREDIT_CARD,1111,04-2025,,40049757272,D-CHAK100,100,20200807-245-392,"Infectious Diseases for Primary Care",2020-08-07,2020-08-09,"Disney\'s Yacht & Beach Club Resorts","Walt Disney World® Resort, Florida",
"2020-06-01 14:10:06",Bandhu,Chakrapani,qateam.125@gmail.com,1AL03918920,0,"Pricing Early Other",695,"Registration CC AND CREDIT USED",355,340,CREDITS_AND_CREDIT_CARD,1111,09-2023,,40049761111,D-CHAK100,100,20200814-356-396,"Internal Medicine for Primary Care: Endo/Pulm/Vasc",2020-08-14,2020-08-16,"The Ritz-Carlton, Half Moon Bay","Half Moon Bay, California",
"2020-06-01 12:29:07",Bandhu,Chakrapani,qateam.125@gmail.com,1AL03918920,0,"Pricing Early Other",895,"Registration CC AND CREDIT USED",195,700,CREDITS_AND_CREDIT_CARD,1111,09-2022,,40049758189,D-CHAK100,100,20200816-267-397,"Internal Medicine for Primary Care: Derm/Geri/Neuro/Tox",2020-08-16,2020-08-20,"Grand Wailea, A Waldorf Astoria Resort","Maui, Hawaii",
"2020-06-01 12:22:48",Bandhu,Chakrapani,qateam.125@gmail.com,1AL03918920,0,"Pricing Early Other",695,"Registration PAID CC",695,0,CREDIT_CARD,1111,08-2024,,40049758049,D-CHAK100,100,20200828-297-398,"Rheumatology & Musculoskeletal Medicine for Primary Care",2020-08-28,2020-08-30,"Francis Marion Hotel","Charleston, South Carolina",
"2020-06-01 12:25:04",Bandhu,Chakrapani,qateam.125@gmail.com,1AL03918920,0,"Pricing Early Other",595,"Registration PAID CC",595,0,CREDIT_CARD,1111,11-2022,,40049758094,D-CHAK100,100,20200828-259-399,"Internal Medicine for Primary Care: Derm/Neuro/Rheum",2020-08-28,2020-08-30,"Fairmont Empress","Victoria, Canada",
"2020-06-01 12:16:23",Bandhu,Chakrapani,qateam.125@gmail.com,1AL03918920,0,"Pricing Early Other",695,"Registration PAID CC",695,0,CREDIT_CARD,1111,12-2024,,40049757886,,,20200904-187-404,"Men's & Women's Health for Primary Care: Cardio/Gyn/Men's Uro",2020-09-04,2020-09-06,"Bellagio Hotel and Casino","Las Vegas, Nevada",
"2020-06-01 11:50:39",Bandhu,Chakrapani,qatestingdemo001@gmail.com,1AL03919020,0,"Pricing Early Other",595,"Registration CC AND CREDIT USED",590,5,CREDITS_AND_CREDIT_CARD,1111,08-2023,,40049756926,D-CHAK100,100,20200904-255-405,"Geriatric Medicine for Primary Care: Geri/Neuro/Psych",2020-09-04,2020-09-06,"Disney\'s Contemporary Resort","Walt Disney World® Resort, Florida",
"2020-06-01 12:22:08",Bandhu,Chakrapani,qateam.125@gmail.com,1AL03918920,0,"Pricing Early Other",595,"Registration PAID CC",595,0,CREDIT_CARD,1111,09-2022,,40049758026,D-CHAK100,100,20200904-255-405,"Geriatric Medicine for Primary Care: Geri/Neuro/Psych",2020-09-04,2020-09-06,"Disney\'s Contemporary Resort","Walt Disney World® Resort, Florida",
"2020-06-01 12:10:43",Bandhu,Chakrapani,qateam.125@gmail.com,1AL03918920,0,"Pricing Early Other",695,"Registration PAID CC",695,0,CREDIT_CARD,1111,06-2020,,40049757685,D-CHAK100,100,20200911-318-406,"Internal Medicine for Primary Care: Derm/Neuro/Palliative",2020-09-11,2020-09-13,"Wequassett Resort and Golf Club","Cape Cod, Massachusetts",
"2020-06-01 12:05:52",Bandhu,Chakrapani,qateam.125@gmail.com,1AL03918920,0,"Pricing Early Other",1195,"Registration CC AND CREDIT USED",790,405,CREDITS_AND_CREDIT_CARD,1111,10-2020,,40049757567,,,20200907-415-417,"Internal Medicine for Primary Care: Addiction/Gastro/Pulm/Rheum",2020-09-07,2020-09-10,"Hilton Sorrento Palace","Amalfi Coast, Italy",
"2020-06-01 13:56:57",Bandhu,Chakrapani,qateam.125@gmail.com,1AL03918920,0,"Pricing Early Other",695,"Registration CC AND CREDIT USED",350,345,CREDITS_AND_CREDIT_CARD,1111,06-2023,,40049760708,,,20201009-413-418,"Dermatology for Primary Care",2020-10-09,2020-10-11,"Hyatt Regency Savannah","Savannah, Georgia",
"2020-06-02 07:29:49",Bandhu,Chakrapani,qateam.125@gmail.com,1AL03918920,0,"Pricing Early Other",595,"Registration PAID CC",595,0,CREDIT_CARD,1111,08-2022,,40049789095,D-CHAK100,100,20201228-187-442,"Internal Medicine for Primary Care: Addiction/Pain/Palliative",2020-12-28,2020-12-30,"Bellagio Hotel and Casino","Las Vegas, Nevada",
"2020-06-01 11:53:25",Bandhu,Chakrapani,qatestingdemo001@gmail.com,1AL03919020,0,"Pricing Early Other",595,"Registration PAID CC",595,0,CREDIT_CARD,1111,04-2023,,40049757060,D-CHAK100,100,20201002-188-443,"Internal Medicine for Primary Care: Derm/Gastro/Psych",2020-10-02,2020-10-04,"Caesars Palace","Las Vegas, Nevada",
"2020-06-01 13:12:23",Bandhu,Chakrapani,qatestingdemo001@gmail.com,1AL03919020,0,"Pricing Early Other",595,"Registration CREDIT USED",0,595,CREDITS,,,,1591056333,D-CHAK100,100,20210305-206-452,"Men's & Women's Health for Primary Care: Cardio/Gyn/Men's Uro",2021-03-05,2021-03-07,"Hotel del Coronado","San Diego, California",
"2020-06-01 12:03:40",Bandhu,Chakrapani,qateam.125@gmail.com,1AL03918920,0,"Pricing Other",995,"Registration CREDIT USED",0,895,CREDITS,,,,62259650429,,,20200706-362-456,"Internal Medicine for Primary Care: Endo/ID/Pulm/Sports Med",2020-07-06,2020-07-09,"The Hotel Alyeska","Anchorage, Alaska",
"2020-06-02 07:30:33",Bandhu,Chakrapani,qateam.125@gmail.com,1AL03918920,0,"Pricing Early Other",795,"Registration CC AND CREDIT USED",490,305,CREDITS_AND_CREDIT_CARD,1111,08-2022,,40049789120,D-CHAK100,100,20210204-255-462,"Internal Medicine for Primary Care: Cardio/Emergency Med/Onc/Pain",2021-02-04,2021-02-07,"Disney\'s Contemporary Resort","Walt Disney World® Resort, Florida",
"2020-06-02 07:21:03",Bandhu,Chakrapani,qateam.125@gmail.com,1AL03918920,0,"Pricing Early Other",695,"Registration CC AND CREDIT USED",320,375,CREDITS_AND_CREDIT_CARD,1111,08-2022,,40049788815,,,20210212-187-470,"Orthopedic Medicine for Primary Care: Ortho/Rheum",2021-02-12,2021-02-14,"Bellagio Hotel and Casino","Las Vegas, Nevada",
"2020-06-02 08:30:46",Bandhu,Chakrapani,qateam.125@gmail.com,1AL03918920,0,"Pricing Early Other",595,"Registration PAID CC",595,0,CREDIT_CARD,1111,08-2023,,40049805008,D-CHAK100,100,20210205-254-476,"Internal Medicine for Primary Care: Gastro/Ophth/Psych",2021-02-05,2021-02-07,"The Village at Breckenridge/Gravity Haus","Breckenridge, Colorado",
"2020-06-02 07:22:35",Bandhu,Chakrapani,qateam.125@gmail.com,1AL03918920,0,"Pricing Early Other",895,"Registration PAID CC",895,0,CREDIT_CARD,1111,08-2022,,40049788973,D-CHAK100,100,20210207-281-480,"Internal Medicine for Primary Care: Addiction/Gyn/ID/Neuro",2021-02-07,2021-02-11,"Aulani, A Disney Resort & Spa","Oahu, Hawaii",
"2020-06-02 08:10:28",Bandhu,Chakrapani,qateam.125@gmail.com,1AL03918920,0,"Pricing Early Other",795,"Registration CREDIT USED",0,795,CREDITS,,,,1591124617,D-CHAK100,100,20210318-300-481,"Internal Medicine for Primary Care: Bariatrics/Endo/ID/Pod",2021-03-18,2021-03-21,"InterContinental San Juan","San Juan, Puerto Rico",
"2020-06-01 13:15:58",Bandhu,Chakrapani,qatestingdemo001@gmail.com,1AL03919020,0,"Pricing Early Other",695,"Registration CC AND CREDIT USED",687,8,CREDITS_AND_CREDIT_CARD,1111,03-2021,,40049759470,,,20210602-394-493,"Infectious Disease for Primary Care",2021-06-02,2021-06-04,"Big Sky Resort","Yellowstone, Montana",
"2020-06-01 13:26:19",Bandhu,Chakrapani,qateam.125@gmail.com,1AL03918920,0,"Pricing Early Other",695,"Registration PAID CC",695,0,CREDIT_CARD,1111,02-2023,,40049759761,,,20210602-394-493,"Infectious Disease for Primary Care",2021-06-02,2021-06-04,"Big Sky Resort","Yellowstone, Montana",
"2020-06-01 12:33:33",Bandhu,Chakrapani,qateam.125@gmail.com,1AL03918920,0,"Pricing Early Other",895,"Registration PAID CC",895,0,CREDIT_CARD,1111,02-2022,,40049758357,,,20210708-200-502,"Dermatology for Primary Care",2021-07-08,2021-07-11,"Grand Hotel","Mackinac Island, Michigan",
"2020-06-01 13:58:43",Bandhu,Chakrapani,qateam.125@gmail.com,1AL03918920,0,"Pricing Early Other",695,"Registration CC AND CREDIT USED",355,340,CREDITS_AND_CREDIT_CARD,1111,07-2022,,40049760757,,,20210716-191-504,"Orthopedic Medicine for Primary Care: Ortho/Ortho/ Rheum",2021-07-16,2021-07-18,"Disney\'s Grand Floridian Resort & Spa","Walt Disney World® Resort, Florida",
"2020-06-01 13:24:41",Bandhu,Chakrapani,qatestingdemo001@gmail.com,1AL03919020,0,"Pricing Early Other",895,"Registration PAID CC",895,0,CREDIT_CARD,1111,02-2021,,40049759726,,,20210603-345-507,"Internal Medicine for Primary Care: Cardio/ENT/Nephro/Psych",2021-06-03,2021-06-06,"The Fairmont Banff Springs"," Banff, Canada",
"2020-06-01 13:02:56",Bandhu,Chakrapani,qatestingdemo001@gmail.com,1AL03919020,0,"Pricing Early Other",695,"Registration CREDIT USED",0,695,CREDITS,,,,1591055766,,,20210709-187-508,"Endocrinology for Primary Care",2021-07-09,2021-07-11,"Bellagio Hotel and Casino","Las Vegas, Nevada",
"2020-06-01 14:03:53",Bandhu,Chakrapani,qateam.125@gmail.com,1AL03918920,0,"Pricing Early Other",895,"Registration CC AND CREDIT USED",550,345,CREDITS_AND_CREDIT_CARD,1111,09-2023,,40049760934,,,20210805-206-512,"Internal Medicine for Primary Care: Endo/Gastro/Ortho/Ophth",2021-08-05,2021-08-08,"Hotel del Coronado","San Diego, California",
